"Table 3.3  Consumer Price Estimates for Energy by Source, 1970-2010",,,,,,,,,,,,,,,,
                      (Dollars 1 per Million Btu),,,,,,,,,,,,,,,,
Year,Coal,Natural Gas,PET1,PET2,PET3,PET4,PET5,PET6,PET7,Petroleum,Nuclear,Biomass,Total,Electric Power,Retail Electricity,Total Energy
1970,0.38,0.59,,1.16,0.73,1.43,2.85,0.42,1.38,1.71,0.18,1.29,1.08,0.32,4.98,1.65
1971,0.42,0.63,,1.22,0.77,1.46,2.9,0.58,1.45,1.78,0.18,1.31,1.15,0.38,5.3,1.76
1972,0.45,0.68,,1.22,0.79,1.49,2.88,0.62,1.49,1.78,0.18,1.33,1.18,0.42,5.54,1.84
1973,0.48,0.73,,1.46,0.92,2,3.1,0.75,1.58,1.97,0.19,1.39,1.29,0.47,5.86,2.02
1974,0.88,0.89,,2.44,1.58,2.8,4.32,1.82,2.6,3.06,0.2,1.5,1.94,0.87,7.42,2.87
1975,1.03,1.18,,2.6,2.05,2.96,4.65,1.93,2.94,3.35,0.24,1.5,2.19,0.97,8.61,3.33
1976,1.04,1.46,,2.77,2.25,3.2,4.84,1.9,3.08,3.47,0.25,1.53,2.34,1.03,9.13,3.57
1977,1.11,1.76,,3.11,2.59,3.66,5.13,2.14,3.27,3.73,0.27,1.58,2.58,1.17,10.11,3.98
1978,1.27,1.95,,3.26,2.87,3.61,5.24,2.08,3.45,3.84,0.3,1.61,2.72,1.27,10.92,4.23
1979,1.36,2.31,,4.69,3.9,4.5,7.11,2.83,4.7,5.23,0.34,1.88,3.47,1.5,11.78,5.21
1980,1.46,2.86,,6.7,6.36,5.64,9.84,3.88,7.04,7.4,0.43,2.26,4.57,1.77,13.95,6.89
1981,1.64,3.43,,8.03,7.57,6.19,10.94,4.91,8.67,8.68,0.48,2.52,5.25,2.04,16.14,8.03
1982,1.73,4.23,,7.78,7.23,6.68,10.39,4.65,7.87,8.4,0.54,2.6,5.33,2.05,18.16,8.46
1983,1.7,4.72,,7.32,6.53,7.2,9.12,4.5,7.6,7.77,0.58,2.44,5.12,2.02,18.62,8.39
1984,1.71,4.75,,7.37,6.25,6.95,8.89,4.75,7.72,7.68,0.67,2.53,5.04,2.02,18.5,8.29
1985,1.69,4.61,,7.22,5.91,6.63,9.01,4.3,7.55,7.63,0.71,2.47,4.93,1.91,19.05,8.37
1986,1.62,4.07,,5.68,3.92,6.49,6.79,2.37,5.8,5.74,0.7,2.12,3.97,1.6,19.05,7.3
1987,1.53,3.77,,5.97,4.03,6.11,7.23,2.86,5.63,6.04,0.71,2.07,4,1.57,18.74,7.34
1988,1.5,3.78,,5.83,3.8,5.92,7.33,2.35,5.26,5.91,0.73,2.09,3.89,1.49,18.68,7.26
1989,1.48,3.82,,6.43,4.39,5.58,8.02,2.72,5.5,6.43,0.7,1.42,4.07,1.51,18.98,7.56
1990,1.49,3.82,,7.68,5.68,6.83,9.12,3.17,5.82,7.47,0.67,1.32,4.46,1.48,19.32,8.25
1991,1.48,3.74,,7.29,4.83,6.87,8.93,2.62,5.73,7.2,0.63,1.39,4.29,1.4,19.84,8.21
1992,1.45,3.83,,7.09,4.52,6.25,8.96,2.28,5.51,7.07,0.59,1.32,4.24,1.38,20.06,8.13
1993,1.42,4.1,,7.08,4.29,6.27,8.83,2.26,5.49,7.01,0.56,1.28,4.26,1.4,20.38,8.25
1994,1.39,4.08,,6.99,3.95,6.61,8.96,2.32,5.47,7.06,0.56,1.39,4.27,1.36,20.33,8.3
1995,1.37,3.73,,6.98,4,6.51,9.22,2.46,5.74,7.28,0.54,1.4,4.23,1.29,20.29,8.28
1996,1.33,4.25,,7.87,4.82,7.98,9.85,2.8,6.2,8.01,0.51,1.25,4.63,1.35,20.16,8.75
1997,1.32,4.53,,7.66,4.53,7.39,9.81,2.93,5.89,7.86,0.51,1.15,4.66,1.38,20.13,8.8
1998,1.29,4.13,,6.57,3.35,5.95,8.45,2.15,5.02,6.63,0.5,1.27,4.08,1.32,19.8,8.2
1999,1.27,4.16,,7.19,4.01,6.6,9.31,2.51,5.3,7.33,0.48,1.34,4.37,1.33,19.52,8.53
2000,1.24,5.61,[R],9.86,6.64,9.55,11.89,4.32,7.04,9.82,0.46,1.57,5.7,1.71,20.03,10.28
2001,1.29,6.87,,9.18,5.72,9.53,11.34,3.99,6.41,9.32,0.44,2.08,5.83,1.85,21.41,10.73
2002,1.3,5.31,,8.64,5.33,8.09,10.69,3.91,6.59,8.83,0.43,2.19,5.25,1.54,21.15,10.06
2003,1.32,7.08,,10.05,6.46,10.32,12.34,4.75,7.62,10.31,0.42,1.98,6.28,1.84,21.85,11.42
2004,1.41,7.91,,12.23,8.93,12.24,14.67,4.92,8.56,12.27,0.42,2.17,7.37,2,22.38,12.87
2005,1.62,9.92,,16.41,12.86,14.58,17.89,6.65,10.98,15.53,0.43,3.1,9.24,2.61,23.92,15.55
2006,1.78,9.62,,18.55,14.8,16.85,20.27,7.93,13.37,17.92,0.44,3.13,10.21,2.48,26.15,17.36
2007,1.88,9.31,,19.87,16.01,18.76,22.01,8.57,14.94,19.47,0.46,3.32,10.74,2.68,26.84,18.24
2008,2.21,10.83,,26.33,22.56,23.35,25.53,12.64,18.83,24.18,0.47,3.69,12.93,3.21,28.64,21.37
2009,2.33,7.67,[R],16.98,12.61,16.38,18.51,9.69,14.3,16.87,0.55,3.27,9.37,2.45,28.9,17.02
2010,2.42,7.41,,20.62,16.28,19.61,21.98,11.7,17.97,20.32,0.62,3.45,10.63,2.62,28.92,18.73
