"","year","Description","Value"
"1","1949","Crude Oil Production, 48 States","5046.411"
"2","1950","Crude Oil Production, 48 States","5407.052"
"3","1951","Crude Oil Production, 48 States","6158.112"
"4","1952","Crude Oil Production, 48 States","6256.383"
"5","1953","Crude Oil Production, 48 States","6457.759"
"6","1954","Crude Oil Production, 48 States","6342.433"
"7","1955","Crude Oil Production, 48 States","6806.652"
"8","1956","Crude Oil Production, 48 States","7151.046"
"9","1957","Crude Oil Production, 48 States","7169.592"
"10","1958","Crude Oil Production, 48 States","6709.553"
"11","1959","Crude Oil Production, 48 States","7053.159"
"12","1960","Crude Oil Production, 48 States","7033.809"
"13","1961","Crude Oil Production, 48 States","7165.564"
"14","1962","Crude Oil Production, 48 States","7303.918"
"15","1963","Crude Oil Production, 48 States","7512.282"
"16","1964","Crude Oil Production, 48 States","7584.052"
"17","1965","Crude Oil Production, 48 States","7773.66"
"18","1966","Crude Oil Production, 48 States","8255.904"
"19","1967","Crude Oil Production, 48 States","8730.455"
"20","1968","Crude Oil Production, 48 States","8914.858"
"21","1969","Crude Oil Production, 48 States","9035.063"
"22","1970","Crude Oil Production, 48 States","9407.764"
"23","1971","Crude Oil Production, 48 States","9244.986"
"24","1972","Crude Oil Production, 48 States","9241.735"
"25","1973","Crude Oil Production, 48 States","9009.808"
"26","1974","Crude Oil Production, 48 States","8580.773"
"27","1975","Crude Oil Production, 48 States","8183.411"
"28","1976","Crude Oil Production, 48 States","7958.421"
"29","1977","Crude Oil Production, 48 States","7780.997"
"30","1978","Crude Oil Production, 48 States","7478.345"
"31","1979","Crude Oil Production, 48 States","7150.616"
"32","1980","Crude Oil Production, 48 States","6980.107"
"33","1981","Crude Oil Production, 48 States","6962.43"
"34","1982","Crude Oil Production, 48 States","6952.89"
"35","1983","Crude Oil Production, 48 States","6973.896"
"36","1984","Crude Oil Production, 48 States","7156.544"
"37","1985","Crude Oil Production, 48 States","7146.082"
"38","1986","Crude Oil Production, 48 States","6813.54"
"39","1987","Crude Oil Production, 48 States","6387.46"
"40","1988","Crude Oil Production, 48 States","6122.902"
"41","1989","Crude Oil Production, 48 States","5739.158"
"42","1990","Crude Oil Production, 48 States","5581.854"
"43","1991","Crude Oil Production, 48 States","5618.33"
"44","1992","Crude Oil Production, 48 States","5457.13"
"45","1993","Crude Oil Production, 48 States","5264.491"
"46","1994","Crude Oil Production, 48 States","5102.818"
"47","1995","Crude Oil Production, 48 States","5075.657"
"48","1996","Crude Oil Production, 48 States","5071.086"
"49","1997","Crude Oil Production, 48 States","5155.841"
"50","1998","Crude Oil Production, 48 States","5076.901"
"51","1999","Crude Oil Production, 48 States","4831.599"
"52","2000","Crude Oil Production, 48 States","4851.117"
"53","2001","Crude Oil Production, 48 States","4838.631"
"54","2002","Crude Oil Production, 48 States","4759.471"
"55","2003","Crude Oil Production, 48 States","4675.047"
"56","2004","Crude Oil Production, 48 States","4532.66"
"57","2005","Crude Oil Production, 48 States","4319.749"
"58","2006","Crude Oil Production, 48 States","4344.821"
"59","2007","Crude Oil Production, 48 States","4351.722"
"60","2008","Crude Oil Production, 48 States","4316.903"
"61","2009","Crude Oil Production, 48 States","4711.463"
"62","2010","Crude Oil Production, 48 States","4884.662"
"63","2011","Crude Oil Production, 48 States","5113.032"
"64","2012","Crude Oil Production, 48 States","5998.084"
"65","2013","Crude Oil Production, 48 States","6982.462"
"66","2014","Crude Oil Production, 48 States","8297.148"
"67","2015","Crude Oil Production, 48 States","8958.784"
"68","2016","Crude Oil Production, 48 States","8357.458"
